bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean,qerror_50 (Median),qerror_95,qerror_max,mean_qerror,qerror_0,mre,rmse
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,51,3564408489692085575.pt,1.1093233707948662,1.487653448064972,1.2046919984027231,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,52,3564408489692085575.pt,1.102901214975819,1.4330538313217505,1.1860970139682865,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,53,3564408489692085575.pt,1.0880668109958993,1.4226139446120352,1.1750232621075702,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,54,3564408489692085575.pt,1.0929326703608004,1.4134202344580071,1.1675530992249683,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,57,3564408489692085575.pt,1.100758478359516,1.3360332958593868,1.1549115154276854,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,58,3564408489692085575.pt,1.0743168854099934,1.321119067000645,1.1541396832186896,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,59,3564408489692085575.pt,1.0812818196913605,1.337498574697649,1.1410772084141405,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,63,3564408489692085575.pt,1.070349555312995,1.305912436246318,1.12688391442376,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,64,3564408489692085575.pt,1.0711311352220292,1.3121665065313066,1.1244256764996392,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,68,3564408489692085575.pt,1.0628663619523302,1.322690451287619,1.1186483628346997,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,74,3564408489692085575.pt,1.0644629447304084,1.2718273976328776,1.114633703392528,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,76,3564408489692085575.pt,1.0550170201282532,1.2944513179809527,1.1121785687138617,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,81,3564408489692085575.pt,1.0644690281149982,1.268357938135949,1.1064784602821782,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,82,3564408489692085575.pt,1.0574150622431684,1.27233895413437,1.105478246449492,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,83,3564408489692085575.pt,1.0574629162026352,1.2536538497918266,1.1052796026773095,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,89,3564408489692085575.pt,1.0576324415376317,1.2582713523032958,1.1022027733010875,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,41,3564408489692085575.pt,1.0680386229606966,1.6109668946582578,1.185337740110991,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,45,3564408489692085575.pt,1.1002942471507182,1.545686635481002,1.1779127218982046,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,46,3564408489692085575.pt,1.1029047489334125,1.5128525437917448,1.1744876310438286,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,51,3564408489692085575.pt,1.0974133747490376,1.414278148278627,1.1683041129427194,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,52,3564408489692085575.pt,1.0672255623925475,1.4239566292348644,1.164577427894926,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,57,3564408489692085575.pt,1.0674692073436045,1.466772560065443,1.1641934769589084,,,,,,,
